course,code,credits,prerequisites,corequisites,semesters offered (1 = fall; 2 = winter; 3 = summer),note,category,,extra notes
Heat Transfer II,MECH 452,3.5,MECH 351; MECH 352; MECH 361,none,,,Mechanical Engineering,,
"Heating, Ventilation and Air Conditioning Systems",MECH 453,3,MECH 352,none,,,Mechanical Engineering,,
Vehicular Internal Combustion Engines,MECH 454,3,MECH 351; MECH 361,none,2,,Mechanical Engineering,,
Finite Element Analysis,MECH 460,3.75,ENGR 244; ENGR 391,none,2,,Mechanical Engineering,,
Gas Dynamics,MECH 461,3.5,MECH 361,none,1;3,,Mechanical Engineering,,
Fluid Power Control,MECH 463,3.5,ENGR 361; ELEC 372 or MECH 371,none,,,Mechanical Engineering,,
Microcontrollers for Mechatronics,MECH 471,3.5,ENGR 311; MECH 368,none,2,,Mechanical Engineering,,
Mechatronics and Automation,MECH 472,3.5,MECH 215; MECH 371,none,2,,Mechanical Engineering,,
Control System Design,MECH 473,3.5,ELEC 372 or MECH 371,none,1,,Mechanical Engineering,,
Mechatronics,MECH 474,3.75,ELEC 372 or MECH 371,none,2,,Mechanical Engineering,,
Capstone Mechanical Engineering Design Project,MECH 490A,4,75 credits in the program; ENCS 282; ENGR 301; MECH 344; MECH 390,none,1;2,Students will work in groups under direct supervision of a faculty member. each student will undertake projects work in the area of their option.,Mechanical Engineering,,
Capstone Mechanical Engineering Design Project,MECH 490B,4,75 credits in the program; ENCS 282; ENGR 301; MECH 344; MECH 390,none,1;2,Students will work in groups under direct supervision of a faculty member. each student will undertake projects work in the area of their option.,Mechanical Engineering,,
Capstone Mechanical Engineering Design Project,MECH 490C,4,75 credits in the program; ENCS 282; ENGR 301; MECH 344; MECH 390,none,1;2,Students will work in groups under direct supervision of a faculty member. each student will undertake projects work in the area of their option.,Mechanical Engineering,,
Topics in Mechanical Engineering,MECH 498,3,Permission of the Department Chair,none,,,Mechanical Engineering,,
Computer Science Industrial Experience Reflective Learning I,COMP 108,3,Permission of the Faculty,none,1;3,,Computer Science,,
Introduction to Computing,COMP 201,3,MATH 201 or equivalent,none,1;2,"1. Students who have received credit for COMP 218, COMP 248 or COEN 243 may not take this course for credit. 2. This course may not be taken for credit in the regular undergraduate programs in Engineering and Computer Science.",Computer Science,,COMP 107 Inudstrial Learning Experience?
Computer Science Industrial Experience Reflective Learning II,COMP 208,3,COMP 108 and permission of the Faculty,none,1;3,,Computer Science,,COMP 207 Industrial Learning Experience?
Fundamentals of Programming,COMP 218,3,MATH 201 or equivalent (no prior experience with computers is assumed),none,1;2,Students who have received credit for COMP 248 may not take this course for credit.,Computer Science,,
System Hardware,COMP 228,3,COMP 248; MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC,MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC,1;2;3,Students who have received credit for SOEN 228 may not take this course for credit.,Computer Science,,
Mathematics for Computer Science,COMP 232,3,MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC,MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC,1;2;3,Students who have received credit for COMP 238 or COEN 231 may not take this course for credit.,Computer Science,,
Probabilirt and Statistics for Computer Science,COMP 233,3,MATH 205 or Cegep Mathematics 203 or NYB,none,1;2;3,"Students who have received credit for ENGR 371, STAT 249, STAT 250, COMM 215, MAST 221, MAST 333 may not take this course for credit.",Computer Science,,
Object-Oritented Programming I,COMP 248,3.5,MATH 204 or Cegep Mathematics 105 or NYC,MATH 204 or Cegep Mathematics 105 or NYC,1;2;3,,Computer Science,,
Object-Oritented Programming II,COMP 249,3.5,COMP 248; MATH 203 or Cegep Mathematics 103 or NYA; MATH 205 or Cegep Mathematics 203 or NYB,MATH 205 or Cegep Mathematics 203 or NYB,1;2;3,,Computer Science,,
Introduction to Database Applications,COMP 318,4,"COMP 218 or COMP 248 or a course in C, C++ or Java",none,,Students who have received credit for COMP 353 may not take this course for credit. Students in the BCompSc program may not take this course for credit.,Computer Science,,
Computer Architecture,COMP 326,3,COMP 346,none,1,,Computer Science,,
Introduction to Theoretical Computer Science,COMP 335,3,COMP 232 or COEN 231; COMP 249 or COEN 244,none,1;2;3,,Computer Science,,
Combinatorics,COMP 339,4,COMP 232 or 18 credits in post-Cegep Mathematics,none,1,Students who have received credit for MATH 339 may not take this course for credit.,Computer Science,,
Advanced Program Design with C++,COMP 345,4,COMP 352,COMP 352,1;2,,Computer Science,,
Operating Systems,COMP 346,3,COMP 228 or SOEN 228; COMP 352,none,1;2,Students who have received credit for COEN 346 may not take this course for credit.,Computer Science,,
Principles of Programming Languages,COMP 348,3,COMP 249,none,1;2;3,,Computer Science,,
Data Structures and Algorithms,COMP 352,3,COMP 232; COMP 249,COMP 232,1;2;3,Students who have received credit for COEN 352 may not take this course for credit.,Computer Science,,
Databases,COMP 353,4,COMP 232 or COEN 231; COMP 352 or COEN 352,none,1;2;3,,Computer Science,,
Introduction to Software Engineering,COMP 354,4,COMP 352; ENCS 282,none,1;2,1. Students who have received credit for SOEN 341 may not take this course for credit. 2. Students in the BEng in Software Engineering program may not take this course for credit.,Computer Science,,
Elementary Numerical Methods,COMP 361,3,COMP 232; COMP 249,none,1;2,Students who have received credit for ENGR 391 or MAST 334 may not take this course for credit.,Computer Science,,
Techniques in Symbolic Computation,COMP 367,3,COMP 232 or MAST 217; COMP 248 or MAST 234,none,2,Students who have received credit for MAST 332 may not take this course for credit.,Computer Science,,
Computer Graphics,COMP 371,4,COMP 232 or COEN 231; COMP 352 or COEN 352,none,1;2;3,,Computer Science,,
Introduction to Game Development,COMP 376,4,COMP 371,none,1,,Computer Science,,
Multicore Programming,COMP 426,4,COMP 346 or COEN 346,none,1,,Computer Science,,
Parallel Programming,COMP 428,4,COMP 346,none,1,,Computer Science,,
Compiler Design,COMP 442,4,COMP 228 or SOEN 228 or COEN 311; COMP 335; COMP 352 or COEN 352,none,2,,Computer Science,,
System Software Design,COMP 444,4,COMP 346,none,,,Computer Science,,
Data Communication and Computer Networks,COMP 445,4,COMP 353,none,2,,Computer Science,,
Database Design,COMP 451,4,COMP 232 or COEN 231; COMP 339; COMP 352 or COEN 352,none,,,Computer Science,,
Design and Analysis of Algorithms,COMP 465,3,COMP 332 or COEN 231; COMP 339; COMP 352 or COEN 352,none,1,,Computer Science,,
Artificial Intelligence,COMP 472,4,COMP 352 or COEN 352,none,1;2,,Computer Science,,
Pattern Recognition,COMP 473,4,COMP 352,none,1,,Computer Science,,
Intelligent Systems,COMP 474,4,COMP 352 or COEN 352,none,2,,Computer Science,,
Advanced Game Development,COMP 476,4,COMP 361 or ENGR 391; COMP 376,none,2,,Computer Science,,
Animation for Computer Games,COMP 477,4,COMP 361 or ENGR 391; COMP 371,none,1,,Computer Science,,
Image Processing,COMP 478,4,COMP 352,none,1,,Computer Science,,
Information Retrieval and Web Search,COMP 479,4,COMP 233 or ENGR 371; COMP 352,none,1,,Computer Science,,
Computer Science Project I,COMP 490,3,ENCS 282; completion of 60 credits; permission of the Department,none,1;2;3,"Students can register for COMP 490 by itself or, with the permission of the Department, students can register for COMP 490 and COMP 492 concurrently and carry out a major project",Computer Science,,
Computer Science Project II,COMP 492,3,COMP 490,COMP 490,1;2;3,"Students can register for COMP 490 by itself or, with the permission of the Department, students can register for COMP 490 and COMP 492 concurrently and carry out a major project",Computer Science,,
Honours Seminar,COMP 495,1,ENCS 282; registration in the final year of the honours program,none,1;2,,Computer Science,,
Topics in Computer Science,COMP 498,3,Permission of the Department,none,2,,Computer Science,,MAST332 Techniques in Symbolic Computation - offered: 2
System Hardware,SOEN 228,4,MATH 203 or Cegep Mathematics 103; MATH 204 or Cegep Mathematics 105,none,2;3,Students who have received credit for COMP 228 may not take this course for credit.,Software Engineering,,
Web Programming,SOEN 287,3,COMP 248,none,1;2;3,,Software Engineering,,
System Hardware Lab,SOEN 298,1,Permission of the undergraduate program director,none,2;3,,Software Engineering,,
Information Systems Security,SOEN 321,3,COMP 346,none,1,,Software Engineering,,
Introduction to Formal Methods for Software Engineering,SOEN 331,3,COMP 232; COMP 249,none,2,,Software Engineering,,
Software Process,SOEN 341,3,COMP 352 or COEN 352; ENCS 282,none,1;2,Students who have received credit for COMP 354 may not take this course for credit.,Software Engineering,,
Software Requirements and Specifications,SOEN 342,3,SOEN 341,none,1,,Software Engineering,,
Software Architecture Design I,SOEN 343,3,SOEN 341; SOEN 342,SOEN 342,1,,Software Engineering,,
Software Architecture Design II,SOEN 344,3,SOEN 343,none,2,,Software Engineering,,
"Software Testing, Verification and Quality Assurance",SOEN 345,3,SOEN 343,SOEN 343,2,,Software Engineering,,
User Interface Design,SOEN 357,3,SOEN 342,none,2,,Software Engineering,,
"Management, Measurement and Quality Control",SOEN 384,3,ENCS 282; SOEN 341,none,1,,Software Engineering,,
Control Systems and Applications,SOEN 385,3,ENGR 213; ENGR 233,none,2,,Software Engineering,,
Web-Based Enterprise Application Design,SOEN 387,3,COMP 353; COMP 354 or SOEN 341; SOEN 287,COMP 353,1,,Software Engineering,,
Software Engineering Team Design Project,SOEN 390,3.5,SOEN 334; SOEN 357,SOEN 334; SOEN 357,2,,Software Engineering,,
Embedded Systems and Software,SOEN 422,4,COMP 346,none,1,Students who have received credit for COEN 421 may not take this course for credit.,Software Engineering,,
Distributed Systems,SOEN 423,4,COMP 346,none,1,,Software Engineering,,
Management of Evolving Systems,SOEN 448,3,SOEN 342; SOEN 343; SOEN 344,none,,,Software Engineering,,
Component Engineering,SOEN 449,3,SOEN 344,none,,,Software Engineering,,
Web Services and Applications,SOEN 487,4,SOEN 387,none,2,,Software Engineering,,
Capstone Software Engineering Design Project,SOEN 490,4,SOEN 390,none,1;2,,Software Engineering,,
Software Engineering Project,SOEN 491,1,Permission of the undergraduate program director,none,1;2,,Software Engineering,,
Topics in Software Engineering,SOEN 498,3,Permission of the Departments,none,,,Software Engineering,,
,,,,,,,,,MATH 339 Combinatorics semester offered - 1
